"Source:","/home/gvandor/Documents/Github/gvandor/Kicad/Projects/Sidetone/Sidetone.kicad_sch"
"Date:","Fri 01 Mar 2024 05:22:08 PM CET"
"Tool:","Eeschema 7.0.10"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","54"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"4-8ohm1","1","Speaker","Speaker","000_Other_Device:Hangszoro","Speaker","",""
"C1, C7, C9, C11, C14","5","100uF/16V","C_Polarized","000_Capacitor:CP_Radial_Elektrolit_D8.0mm_P4.0mm_H12","Polarized capacitor","",""
"C2, C4","2","20nF","C","000_Capacitor:C_Radial_Ceramic_D4.5mm_P5.00mm","Unpolarized capacitor","",""
"C3","1","10 nF","C","000_Capacitor:C_Radial_Ceramic_D4.5mm_P5.00mm","Unpolarized capacitor","",""
"C5, C6","2","10nF","C","000_Capacitor:C_Radial_Ceramic_D4.5mm_P5.00mm","Unpolarized capacitor","",""
"C8, C10, C12","3","100nF","C","000_Capacitor:C_Radial_Ceramic_D4.5mm_P5.00mm","Unpolarized capacitor","",""
"C13","1","200nF","C","000_Capacitor:C_Radial_Ceramic_D4.5mm_P5.00mm","Unpolarized capacitor","",""
"D1","1","Red","LED","000_Diode:LED_D5.0mm_P5.0_Clear","Light emitting diode","",""
"D2","1","Power (Green)","LED","000_Diode:LED_D5.0mm_P5.0_Clear","Light emitting diode","",""
"D3","1","1N4001","1N4001","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","50V 1A General Purpose Rectifier Diode, DO-41","",""
"F1","1","1A","Fuse","000_Other_Device:Fuseholder_22x10mm_Horizontal","Fuse","",""
"GND1","1","~","GND","000_Other_Device:GND","","",""
"Q1, Q2, Q3","3","2N3904","2N3904","000_Transistor:TO-92_Kis_Muanyag_Hazas_Transistor","0.2A Ic, 40V Vce, Small Signal NPN Transistor, TO-92","",""
"R1","1","750","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R2, R3","2","10 K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R4, R5","2","220 K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R6, R9","2","100K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R7","1","47K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R8, R15","2","330","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R10, R17, R18, R19, R20","5","10K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R11, R12, R13","3","22 K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R14, R16","2","33K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R21","1","10","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R22","1","15K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"R23, R24","2","1K","R","000_Resistor:R_Axial_L6.3mm_D2.5mm_P10.0mm_Horizontal","Resistor","",""
"RV1","1","10K Audio","R_Potentiometer","000_Resistor:Potenciometer_4Pin_P7mm","Potentiometer","",""
"SW1","1","morse key","SW_DPST_x2","000_Other_Device:Morse_Key_Pad_Group_2Pin_P7mm","Single Pole Single Throw (SPST) switch, separate symbol","",""
"SW2","1","On/off","SW_DPST_x2","000_Other_Device:Kapcsolo_Pad_Group_2Pin_P7mm","Single Pole Single Throw (SPST) switch, separate symbol","",""
"U1","1","4N35","4N35","000_IC:DIP-6_W7.62mm_LongPads","Optocoupler, Phototransistor Output, with Base Connection, Vce 70V, CTR 100%, Viso 5000V, DIP6","",""
"U2","1","LM324","LM324","000_IC:DIP-14_LM324","Low-Power, Quad-Operational Amplifiers, DIP-14/SOIC-14/SSOP-14","",""
"U3","1","LM386","LM386","000_IC:DIP-8_W7.62mm_Socket_LongPads","Low Voltage Audio Power Amplifier, DIP-8/SOIC-8/SSOP-8","",""
"Vcc1","1","~","Vcc","000_Other_Device:+Vcc","","",""
